   GoodVibes v3.2 2024/10/31 10:47:55
   Citation: Luchini, G.; Alegre-Requena, J. V.; Funes-Ardoiz, I.; Paton, R. S. F1000Research, 2020, 9, 291.
   GoodVibes version 3.2 DOI: 10.12688/f1000research.22758.1

o  Requested: --spc link -t 298.15 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

   Using vibrational scale factor 1.0 for B3LYP/6-31G(d,p) level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964

   Combining final single point energy with thermal corrections.

   Structure                                       E_SPC             E        ZPE         H_SPC        T.S     T.qh-S      G(T)_SPC   qh-G(T)_SPC
   **********************************************************************************************************************************************
o  pyrmd3_conf-2                             -496.569753   -496.664027   0.180221   -496.378993   0.045962   0.045234   -496.424955   -496.424227
o  pyrmd4_conf-1                             -496.568315   -496.663024   0.180967   -496.376930   0.045464   0.044937   -496.422395   -496.421867
o  pyrmd4_conf-2                             -496.568846   -496.663004   0.180657   -496.377717   0.045601   0.045060   -496.423318   -496.422777
o  pyrmd5_conf-1                             -303.625303   -303.675314   0.104379   -303.513954   0.038046   0.037030   -303.552000   -303.550984
o  pyrmd6_conf-1                             -303.625153   -303.675255   0.104624   -303.513626   0.037221   0.036653   -303.550847   -303.550278
o  pyrmd7_conf-1                             -303.621160   -303.671939   0.104638   -303.509541   0.038041   0.037048   -303.547582   -303.546589
o  pyrmd8_conf-1                             -342.932313   -342.996900   0.133465   -342.790729   0.041974   0.040310   -342.832703   -342.831038
o  pyrmd8_conf-2                             -342.932118   -342.996597   0.133233   -342.790800   0.040398   0.039544   -342.831199   -342.830344
o  pyrmd9_conf-1                             -342.932189   -342.997020   0.133697   -342.790453   0.040109   0.039411   -342.830563   -342.829864
o  pyrmd9_conf-2                             -342.931727   -342.996068   0.133619   -342.790128   0.039812   0.039205   -342.829940   -342.829333
o  pyrz1_conf-1                              -457.255348   -457.336221   0.151285   -457.094752   0.042943   0.042501   -457.137695   -457.137253
o  pyrz2_conf-1                              -496.562505   -496.657687   0.180043   -496.371904   0.046266   0.045350   -496.418170   -496.417254
o  pyrz2_conf-2                              -496.562075   -496.657655   0.180255   -496.371262   0.046808   0.045503   -496.418069   -496.416764
o  pyrz2_conf-3                              -496.562075   -496.657655   0.180257   -496.371261   0.046799   0.045497   -496.418060   -496.416758
o  pyrz3_conf-1                              -303.616826   -303.667899   0.104395   -303.505551   0.037032   0.036574   -303.542583   -303.542126
o  pyrz4_conf-1                              -342.923914   -342.989674   0.133430   -342.782454   0.040057   0.039378   -342.822511   -342.821832
o  pyrz4_conf-2                              -342.922859   -342.988179   0.133400   -342.781484   0.039882   0.039210   -342.821366   -342.820694
   **********************************************************************************************************************************************
